post_title,post_name,ID,post_excerpt,post_content,post_status,menu_order,post_date,post_author,comment_status,sku,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class
test,test,5204,,,publish,0,08/09/2017 19:38,1,open,,no,no,,,,,,,,,,instock,no,no,taxable,,,,,,-1,-1,,,,,,simple,,,,
Shea Moisture Coconut &amp; Hibiscus Style Milk 8oz,shea-moisture-coconut-hibiscus-style-milk-8oz,5207,,"Shea Moisture Coconut &amp; Hibiscus Style Milk is made of natural ingredients for natural thick, Curly hairs.",publish,0,08/09/2017 19:47,1,open,,no,no,,19.95,17.95,,,,,,,instock,no,no,taxable,,,,,,0,0,,,http://afrobeautyplaza.nl/wp-content/uploads/2017/08/Shea-Moisture-Milk-2.jpg,,,simple,,,,
Shea Moisture Coconut &amp; Hibiscus Curl &amp; Shine Shampoo 13oz / 236ml,shea-moisture-coconut-hibiscus-curl-shine-shampoo-13oz-236ml,5208,,Shea Moisture Coconut &amp; Hibiscus Curl &amp; Shine Shampoo  made with natural ingredients for natural thick &amp; curly hairs.,publish,0,08/09/2017 19:47,1,open,,no,no,,19.95,17.95,,,,,,,instock,no,no,taxable,,,,,,0,0,,,http://afrobeautyplaza.nl/wp-content/uploads/2017/08/shea-moisture-shampoo-3.jpg,,,simple,,,,
Shea Moisture Coconut &amp; Hibiscus Curl &amp; Shine Conditioner 13oz / 384ml,shea-moisture-coconut-hibiscus-curl-shine-conditioner-13oz-384ml,5209,,Shea Moisture Coconut &amp; Hibiscus Curl &amp; Shine Conditioner made with of natural ingredients for natural thick &amp; curly hairs.,publish,0,08/09/2017 19:47,1,open,,no,no,,19.95,17.95,,,,,,,instock,no,no,taxable,,,,,,0,0,,,http://afrobeautyplaza.nl/wp-content/uploads/2017/08/shea-moisture-pink-conditioner-2.jpg,,,simple,,,,
Shea Moisture Coconut &amp; Hibiscus Hold &amp; Shine Moisture Mist 8oz / 236ml,shea-moisture-coconut-hibiscus-hold-shine-moisture-mist-8oz-236ml,5210,,Shea Moisture Coconut &amp; Hibiscus Hold &amp; Shine Moisture Mist made of natural ingredients for natural thick and curly hairs.,publish,0,08/09/2017 19:47,1,open,,no,no,,19.95,17.95,,,,,,,instock,no,no,taxable,,,,,,0,0,,,http://afrobeautyplaza.nl/wp-content/uploads/2017/08/shea-moisture-curl-hold-and-shine-moisture-mist-2.jpg,,,simple,,,,
Shea Moisture Coconut &amp; Hibiscus Co-Wash Conditioning Cleanser 8zo / 237ml,shea-moisture-coconut-hibiscus-co-wash-conditioning-cleanser-8zo-237ml,5211,,Shea Moisture Coconut &amp; Hibiscus Co-Wash Conditioning Cleanser made with natural ingredients for natural thick &amp; curly hairs.,publish,0,08/09/2017 19:47,1,open,,no,no,,19.95,17.95,,,,,,,instock,no,no,taxable,,,,,,0,0,,,http://afrobeautyplaza.nl/wp-content/uploads/2017/08/Shea-Moisture-cleanser-2.jpg,,,simple,,,,
Aunt Jackie's Knot On My Watch 355ml/ 12oz,aunt-jackies-knot-on-my-watch-355ml-12oz,5212,,"Aunt Jackies Knot On My Watch instant detangling therapy is sulfate/ paraben/ mineral oil/ petroleum free helps softens, restore, moisture balance and eliminates knots and tangles for natural curls, coils and waves hairs.",publish,0,08/09/2017 19:47,1,open,,no,no,,6.95,,,,,,,,instock,no,no,taxable,,,,,,0,0,,,http://afrobeautyplaza.nl/wp-content/uploads/2017/08/aunt-jakies-knot-on-my-1.jpg,,,simple,,,,
Aunt Jackie's Curl La La Define Curl custard 15oz,aunt-jackies-curl-la-la-define-curl-custard-15oz,5213,,"Aunt Jackie's Curl La La Define Curl custard has no sulfate, paraben, mineral oil, petrolatum for natural curls, coils and waves hairs.",publish,0,08/09/2017 19:47,1,open,,no,no,,6.95,,,,,,,,instock,no,no,taxable,,,,,,0,0,,,http://afrobeautyplaza.nl/wp-content/uploads/2017/08/aunt-jakies-define-curl-1.jpg,,,simple,,,,
Aunt Jackie's Girls Baby Girl Curls 15oz,aunt-jackies-girls-baby-girl-curls-15oz,5214,,"Aunt Jackie's Girls Baby Girl Curls curling twisting custard without sulfate, paraben, mineral oil, petrolatum free for naturally curly, coily and wavy hair",publish,0,08/09/2017 19:47,1,open,,no,no,,6.95,,,,,,,,instock,no,no,taxable,,,,,,0,0,,,http://afrobeautyplaza.nl/wp-content/uploads/2017/08/aunt-jackies-girls-baby-girl-custard-creme-activ-1.jpg,,,simple,,,,
Aunt Jackie's Girls Knot having it leave-in ultimate detangling moisturizer 355ml/ 12oz,aunt-jackies-girls-knot-having-it-leave-in-ultimate-detangling-moisturizer-355ml-12oz,5216,,"Aunt Jackie's girls Knot having it leave-in ultimate detangling moisturizer for childrens natural curly, coils and waves hairs without sulfate, paraben, petrolatum and mineral oil free.",publish,0,08/09/2017 19:47,1,open,,no,no,,6.95,,,,,,,,instock,no,no,taxable,,,,,,0,0,,,http://afrobeautyplaza.nl/wp-content/uploads/2017/08/Aunt-Jackies-Leave-in-Condioner-lotion-2.jpg,,,simple,,,,
